date,open_price,high_price,low_price,close_price,volume,adjclose_price
2005-11-28,18.399999618530273,18.690000534057617,17.59000015258789,17.59000015258789,5235400.0,11.84334945678711
2005-11-25,17.920000076293945,18.674999237060547,17.885000228881836,18.270000457763672,2759000.0,12.301193237304688
2005-11-23,18.299999237060547,18.399999618530273,17.700000762939453,17.729999542236328,6545000.0,11.937613487243652
2005-11-22,18.899999618530273,19.094999313354492,18.0049991607666,18.290000915527344,6974400.0,12.314657211303711
2005-11-21,18.405000686645508,18.90999984741211,18.03499984741211,18.899999618530273,4872000.0,12.725373268127441
2005-11-18,18.375,18.5,17.604999542236328,18.135000228881836,5362000.0,12.210295677185059
2005-11-17,17.899999618530273,18.145000457763672,17.80500030517578,17.860000610351562,1834800.0,12.025142669677734
2005-11-16,17.799999237060547,17.850000381469727,17.450000762939453,17.725000381469727,1885400.0,11.934245109558105
2005-11-15,18.100000381469727,18.139999389648438,17.625,17.770000457763672,1980800.0,11.964540481567383
2005-11-14,17.940000534057617,18.229999542236328,17.405000686645508,18.05500030517578,3450400.0,12.156435012817383
2005-11-11,18.325000762939453,18.34000015258789,17.950000762939453,17.954999923706055,1298200.0,12.089103698730469
2005-11-10,18.280000686645508,18.46500015258789,17.81999969482422,18.389999389648438,2623800.0,12.381988525390625
2005-11-09,18.225000381469727,18.71500015258789,18.19499969482422,18.479999542236328,1346600.0,12.442586898803711
2005-11-08,18.485000610351562,18.514999389648438,18.100000381469727,18.19499969482422,1545000.0,12.25069522857666
2005-11-07,18.40999984741211,18.704999923706055,18.049999237060547,18.600000381469727,1347400.0,12.523382186889648
2005-11-04,18.575000762939453,18.604999542236328,18.125,18.190000534057617,1704600.0,12.247329711914062
2005-11-03,18.375,18.6299991607666,18.295000076293945,18.4950008392334,2194800.0,12.45268726348877
2005-11-02,17.825000762939453,18.1299991607666,17.649999618530273,18.125,2291400.0,12.203564643859863
2005-11-01,17.735000610351562,18.075000762939453,17.565000534057617,17.799999237060547,2044200.0,11.984742164611816
2005-10-31,17.325000762939453,17.899999618530273,17.325000762939453,17.739999771118164,2497400.0,11.944342613220215
2005-10-28,16.75,17.2549991607666,16.450000762939453,17.239999771118164,2146000.0,11.60769271850586
2005-10-27,16.96500015258789,17.125,16.344999313354492,16.520000457763672,2292200.0,11.122918128967285
2005-10-26,17.8799991607666,17.924999237060547,16.899999618530273,16.940000534057617,3400800.0,11.405708312988281
2005-10-25,18.375,18.700000762939453,17.75,17.834999084472656,6175600.0,12.008308410644531
2005-10-24,17.25,17.354999542236328,16.954999923706055,17.354999542236328,1447800.0,11.685123443603516
2005-10-21,17.075000762939453,17.40999984741211,16.924999237060547,17.045000076293945,1716200.0,11.476400375366211
2005-10-20,16.979999542236328,17.325000762939453,16.950000762939453,17.020000457763672,2812400.0,11.45957088470459
2005-10-19,16.420000076293945,17.25,16.364999771118164,16.979999542236328,3313200.0,11.432636260986328
2005-10-18,16.010000228881836,16.5,16.0,16.420000076293945,3481200.0,11.055588722229004
2005-10-17,15.475000381469727,15.795000076293945,15.475000381469727,15.774999618530273,2213800.0,10.62131118774414
2005-10-14,15.375,15.545000076293945,15.225000381469727,15.475000381469727,2386400.0,10.419320106506348
2005-10-13,15.0,15.359999656677246,14.975000381469727,15.329999923706055,2449600.0,10.321690559387207
2005-10-12,15.425000190734863,15.539999961853027,15.225000381469727,15.375,3460600.0,10.351988792419434
2005-10-11,15.75,15.800000190734863,15.319999694824219,15.449999809265137,3878200.0,10.402486801147461
2005-10-10,15.524999618530273,15.795000076293945,15.395000457763672,15.619999885559082,3726800.0,10.516949653625488
2005-10-07,15.625,15.819999694824219,15.239999771118164,15.350000381469727,13208200.0,10.33515739440918
2005-10-06,15.954999923706055,15.960000038146973,15.449999809265137,15.5,2640800.0,10.436153411865234
2005-10-05,16.25,16.475000381469727,15.9399995803833,16.0049991607666,4344400.0,10.776166915893555
2005-10-04,15.555000305175781,16.204999923706055,15.524999618530273,15.739999771118164,2162400.0,10.597742080688477
2005-10-03,15.880000114440918,15.989999771118164,15.4350004196167,15.484999656677246,2176400.0,10.426053047180176
2005-09-30,16.049999237060547,16.049999237060547,15.324999809265137,15.734999656677246,3993400.0,10.594376564025879
2005-09-29,16.475000381469727,16.485000610351562,15.920000076293945,16.049999237060547,2668800.0,10.806467056274414
2005-09-28,16.334999084472656,16.704999923706055,16.0,16.424999237060547,2396800.0,11.058955192565918
2005-09-27,16.65999984741211,16.674999237060547,16.149999618530273,16.360000610351562,2635200.0,11.015190124511719
2005-09-26,17.0,17.170000076293945,16.59000015258789,16.645000457763672,1482200.0,11.207080841064453
2005-09-23,16.700000762939453,17.114999771118164,16.700000762939453,16.899999618530273,1088200.0,11.378769874572754
2005-09-22,16.674999237060547,16.770000457763672,16.075000762939453,16.700000762939453,2666600.0,11.24411392211914
2005-09-21,17.524999618530273,17.524999618530273,16.5049991607666,16.559999465942383,2514600.0,11.149849891662598
